,score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day
226,Amazing,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/pc-126314,PC,9.3,Shooter,Y,2012,11,13
227,Mediocre,F1 Race Stars,/games/f1-race-stars/ps3-137849,PlayStation 3,5.2,Racing,N,2012,11,13
228,Mediocre,Midway Arcade Origins,/games/midway-arcade-origins/ps3-143385,PlayStation 3,5.5,"Action, Compilation",N,2012,11,13
229,Mediocre,Midway Arcade Origins,/games/midway-arcade-origins/xbox-360-143382,Xbox 360,5.5,"Action, Compilation",N,2012,11,13
230,Amazing,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/xbox-360-126311,Xbox 360,9.3,Shooter,Y,2012,11,13
231,Amazing,Call of Duty: Black Ops II,/games/call-of-duty-black-ops-ii/ps3-126313,PlayStation 3,9.3,Shooter,Y,2012,11,13
232,Okay,When Vikings Attack,/games/when-vikings-attack/ps3-135043,PlayStation 3,6.5,"Fighting, Action",N,2012,11,9
233,Okay,When Vikings Attack,/games/when-vikings-attack/vita-135040,PlayStation Vita,6.5,"Fighting, Action",N,2012,11,9
234,Mediocre,"Freakyforms Deluxe: Your Creations, Alive!",/games/freakyforms-deluxe-your-creations-alive/3ds-139655,Nintendo 3DS,5.0,Productivity,N,2012,11,8
235,Mediocre,Painkiller: Hell & Damnation,/games/painkiller-hell-and-damnation/pc-136319,PC,5.0,Shooter,N,2012,11,7
236,Great,Transformers Prime,/games/transformers-prime/3ds-130988,Nintendo 3DS,8.0,Action,N,2012,11,7
237,Great,Angry Birds Star Wars,/games/star-wars-angry-birds/iphone-144485,iPhone,8.8,Puzzle,N,2012,11,7
238,Good,Farming Simulator 2013,/games/farming-simulator-2013/pc-144241,PC,7.1,Simulation,N,2012,11,7
239,Great,Paper Mario: Sticker Star,/games/paper-mario-3ds/3ds-77808,Nintendo 3DS,8.3,RPG,N,2012,11,6
240,Okay,Lucius,/games/lucius-shiver-games/pc-83378,PC,6.0,Adventure,N,2012,11,6
241,Mediocre,LittleBigPlanet Karting,/games/littlebigplanet-karting/ps3-128163,PlayStation 3,5.0,Racing,N,2012,11,6
242,Good,Primal Carnage,/games/primal-carnage/pc-60854,PC,7.6,Shooter,N,2012,11,5
243,Great,Natural Selection 2,/games/natural-selection-2/pc-904386,PC,8.0,Shooter,N,2012,11,5
244,Okay,Symphonica: Grand Maestro,/games/symphonica-grand-maestro/iphone-141555,iPhone,6.0,Music,N,2012,11,5
245,Amazing,Football Manager 2013,/games/football-manager-2013/mac-141666,Macintosh,9.0,"Sports, Simulation",Y,2012,11,3
246,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/pc-135888,PC,9.5,Adventure,Y,2012,11,19
247,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/ipad-135885,iPad,9.5,Adventure,Y,2012,11,19
248,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/mac-135889,Macintosh,9.5,Adventure,Y,2012,11,19
249,Amazing,The Walking Dead: The Game -- Episode 5: No Time Left,/games/the-walking-dead-season-1-episode-5/ps3-135887,PlayStation 3,9.5,Adventure,Y,2012,11,19
250,Amazing,Football Manager 2013,/games/football-manager-2013/pc-141663,PC,9.0,"Sports, Simulation",Y,2012,11,3
251,Good,Need for Speed Most Wanted,/games/need-for-speed-most-wanted-2012/vita-135721,PlayStation Vita,7.4,"Racing, Action",N,2012,11,2
252,Bad,Orgarhythm,/games/orgarhythm-133846/vita-130950,PlayStation Vita,4.7,"Music, Action",N,2012,11,2
253,Good,Sports Champions 2,/games/sports-champions-2/ps3-135395,PlayStation 3,7.6,"Sports, Action",N,2012,11,2
254,Great,Kinect Party,/games/happy-action-theater-2/xbox-360-140195,Xbox 360,8.5,Party,N,2012,12,20
255,Good,Sky Gamblers: Storm Raiders,/games/sky-gamblers-storm-raider/iphone-149216,iPhone,7.1,Action,N,2012,12,19
256,Good,Oddworld: Stranger's Wrath HD,/games/oddworld-strangers-wrath/vita-110722,PlayStation Vita,7.5,"Action, Adventure",N,2012,12,19
257,Good,AirBuccaneers,/games/airbuccaneers/pc-150858,PC,7.5,Action,N,2012,12,19
258,Great,Theatrhythm Final Fantasy,/games/theatrhythm-final-fantasy/iphone-150082,iPhone,8.0,"Music, Action",N,2012,12,19
259,Okay,Sing Party,/games/sing/wii-u-135741,Wii U,6.3,Music,N,2012,12,18
260,Okay,Beatdown!,/games/beatdown/iphone-147890,iPhone,6.3,"Fighting, Action",N,2012,11,19
261,Okay,Waking Mars,/games/waking-mars-148199/pc-148201,PC,6.5,Action,N,2012,11,19
262,Okay,Waking Mars,/games/waking-mars-148199/iphone-129356,iPhone,6.5,Action,N,2012,11,19
263,Amazing,Hitman: Absolution,/games/hitman-absolution/ps3-14348845,PlayStation 3,9.0,Action,Y,2012,11,18
264,Amazing,Hitman: Absolution,/games/hitman-absolution/xbox-360-14348846,Xbox 360,9.0,Action,Y,2012,11,18
265,Okay,ZombiU,/games/zombi-u/wii-u-135661,Wii U,6.3,Shooter,N,2012,11,18
266,Good,Grand Theft Auto: Vice City,/games/grand-theft-aut-vice-city/iphone-146059,iPhone,7.7,"Action, Adventure",N,2012,12,18
267,Good,Street Fighter X Mega Man,/games/street-fighter-x-mega-man/pc-149856,PC,7.0,Action,N,2012,12,18
268,Good,Sonic & All-Stars Racing Transformed,/games/sonic-all-stars-racing-transformed/vita-133506,PlayStation Vita,7.0,"Racing, Action",N,2012,12,17
269,Good,Sonic & All-Stars Racing Transformed,/games/sonic-all-stars-racing-transformed/3ds-133507,Nintendo 3DS,7.0,"Racing, Action",N,2012,12,17
270,Good,The Sims 3: Seasons,/games/the-sims-3-seasons/pc-138921,PC,7.5,Simulation,N,2012,12,17
271,Mediocre,Tank! Tank! Tank!,/games/tank-tank-tank/wii-u-135735,Wii U,5.8,Action,N,2012,12,14
272,Good,Guardians of Middle-earth,/games/guardians-of-middle-earth/xbox-360-135298,Xbox 360,7.5,Battle,N,2012,12,14
273,Okay,Ratchet & Clank: Full Frontal Assault,/games/ratchet-and-clank-full-frontal-assault/ps3-135296,PlayStation 3,6.4,Action,N,2012,12,14
274,Bad,Page Chronica,/games/page-chronica/ps3-145412,PlayStation 3,4.1,Puzzle,N,2012,12,14
275,Amazing,Hitman: Absolution,/games/hitman-absolution/pc-14251574,PC,9.0,Action,Y,2012,11,18
276,Amazing,Batman: Arkham City -- Armored Edition,/games/batman-arkham-city/wii-u-110822,Wii U,9.5,Action,Y,2012,11,17
277,Okay,Disney Epic Mickey 2: The Power of Two,/games/disney-epic-mickey-2-the-power-of-two/ps3-125841,PlayStation 3,6.0,"Action, Adventure",N,2012,11,17
278,Okay,Disney Epic Mickey 2: The Power of Two,/games/disney-epic-mickey-2-the-power-of-two/xbox-360-125840,Xbox 360,6.0,"Action, Adventure",N,2012,11,17
279,Good,Darksiders II,/games/darksiders-2/wii-u-110809,Wii U,7.5,Action,N,2012,11,17
280,Great,Scribblenauts Unlimited,/games/scribblenauts-unlimited/wii-u-135731,Wii U,8.8,"Puzzle, Action",Y,2012,11,16
281,Bad,Call of Duty: Black Ops Declassified,/games/call-of-duty-black-ops-declassified/vita-98928,PlayStation Vita,4.0,Shooter,N,2012,11,16
282,Good,Fallen Enchantress,/games/elemental-fallen-enchantress/pc-101961,PC,7.9,Strategy,N,2012,11,16
283,Good,Guns of Icarus Online,/games/guns-of-icarus-online/pc-115437,PC,7.3,Shooter,N,2012,11,16
284,Mediocre,Miner Wars 2081,/games/miner-wars-2081/pc-21143,PC,5.0,Shooter,N,2012,12,14
285,Good,Guardians of Middle-earth,/games/guardians-of-middle-earth/ps3-135301,PlayStation 3,7.5,Battle,N,2012,12,14
286,Great,The Elder Scrolls V: Skyrim -- Dragonborn,/games/the-elder-scrolls-v-skyrim-dragonborn/xbox-360-146422,Xbox 360,8.8,RPG,N,2012,12,13
287,Okay,Baldur's Gate -- Enhanced Edition,/games/baldurs-gate-enhanced-edition/ipad-130702,iPad,6.0,RPG,N,2012,12,13
288,Okay,Black Knight Sword,/games/black-knight-sword/xbox-360-115069,Xbox 360,6.9,"Puzzle, Adventure",N,2012,12,13
289,Okay,Black Knight Sword,/games/black-knight-sword/ps3-115068,PlayStation 3,6.9,"Puzzle, Adventure",N,2012,12,13
